iteration,agent0,agent1,agent2,team_mean
0,0.0051644849590957165,0.0008886148571036756,0.0025663506239652634,0.0028731501661241055
1,2.087276334350463e-05,1.142306427937001e-05,1.772109499142971e-05,1.667230753810145e-05
2,0.005391981452703476,0.005608219653367996,0.004036623518913984,0.00501227518543601
3,0.006075748708099127,0.007029321976006031,0.008059698157012463,0.007054922636598349
4,0.0037615448236465454,0.00810603704303503,0.007929282262921333,0.006598954554647207
5,0.008310748264193535,0.005780854262411594,0.006589751224964857,0.0068937852047383785
6,0.008660973981022835,0.006613514851778746,0.007547515910118818,0.007607335224747658
7,0.004576820880174637,0.006635516416281462,0.01098691951483488,0.0073997522704303265
8,0.005571803078055382,0.004491802770644426,0.006542024202644825,0.005535210482776165
9,0.006675601005554199,0.006105583161115646,0.00703549524769187,0.0066055599600076675
10,0.004799538291990757,0.007199345622211695,0.008103564381599426,0.006700816564261913
11,0.00874463003128767,0.006628076080232859,0.008263105526566505,0.007878603413701057
12,0.007458114065229893,0.007432986982166767,0.00962101574987173,0.008170705288648605
13,0.007213371340185404,0.006923758424818516,0.005956233944743872,0.006697787903249264
14,0.009067857638001442,0.00867875199764967,0.00859054084867239,0.008779050782322884
15,0.008235657587647438,0.009650934487581253,0.00594542408362031,0.00794400554150343
16,0.009841146878898144,0.008929400704801083,0.010252570733428001,0.0096743730828166
17,0.011853563599288464,0.008481798693537712,0.010495399124920368,0.010276921093463898
18,0.011143418960273266,0.010483743622899055,0.012053023092448711,0.011226728558540344
19,0.008404970169067383,0.009945075958967209,0.010199536569416523,0.009516527876257896
20,0.01003276091068983,0.007969197817146778,0.010207402519881725,0.00940312072634697
21,0.00828179158270359,0.006693579256534576,0.008195027709007263,0.007723466493189335
22,0.009268243797123432,0.008494514040648937,0.009798160754144192,0.009186973795294762
23,0.0066165016032755375,0.00790292676538229,0.005244321655482054,0.006587916519492865
24,0.007690371014177799,0.0076573691330850124,0.006763769779354334,0.00737050361931324
25,0.008678758516907692,0.008270571008324623,0.007371542043983936,0.008106958121061325
26,0.0063706799410283566,0.0070838602259755135,0.007673437241464853,0.007042658980935812
27,0.006816726177930832,0.004434283822774887,0.005948531907051802,0.005733180791139603
28,0.009729615412652493,0.01045203860849142,0.008731274865567684,0.009637642651796341
29,0.009463327936828136,0.009376239962875843,0.010550277307629585,0.00979661475867033
30,0.00829261727631092,0.00997972209006548,0.013484654016792774,0.01058566477149725
31,0.01011668797582388,0.010008806362748146,0.008464260026812553,0.009529918432235718
32,0.009989386424422264,0.011167917400598526,0.009194625541567802,0.010117310099303722
33,0.010378025472164154,0.010483979247510433,0.009497269056737423,0.010119758546352386
34,0.010825361125171185,0.008191010914742947,0.009619228541851044,0.009545201435685158
35,0.013429800979793072,0.012928217649459839,0.013750231824815273,0.013369416818022728
36,0.012509106658399105,0.010488760657608509,0.010136093012988567,0.011044654063880444
37,0.012480228208005428,0.013260933570563793,0.01338565070182085,0.013042271137237549
38,0.011505049653351307,0.012629026547074318,0.012563431635499,0.012232502922415733
39,0.012599097564816475,0.012173770926892757,0.012754914350807667,0.012509262189269066
40,0.011207236908376217,0.011417311616241932,0.01221012044698,0.011611556634306908
